"Region","Super_Region","South_East","Country","Density","Mean_Age","Age_0_to_19","Age_20_to_29","Age_65_plus","Female","Cisgender","Heterosexual","Married","Cohabiting","Same_Sex_Couple","In_Migrant_UK","In_Migrant_Overseas","Born_in_UK","Born_in_EU","White_British_Irish","No_Religion","Christian","Communal_Resident","Lone_Parent_family","Household_5_plus","Detached","Flats","One_Bedroom","Crowded_Housing","Owned","Social_Rented","Private_Rented","Second_Address_UK","Second_Address_Overseas","Disabled","Poor_Health","Unpaid_Care_Provider","No_Central_Heating","Green_Central_Heating","Part_Time_Employee","Full_Time_Employee","Self_Employed","Unemployed","Student","No_Quals","Degree_plus","Extractive_Job","Productive_Job","Professional","Routine_Job","Cars_2_plus","Work_from_Home","Public_Transport"
"North East","North West","Rest of E&W","England",308.5,41.8573861500596,22.2619609348348,12.2273294464364,17.9315326369761,51.137565248074,99.5219658222183,96.788069484391,42.410879873935,13.6799963519383,0.915024137851602,8.84415951406413,0.63476288774593,93.2324998375522,2.331730514952,90.8926435598754,42.0947563857902,53.465634071657,1.97146746162561,12.1986113603752,4.85404191616766,17.6870406913446,14.376445971693,8.09769665215025,78.5095434131737,60.7121501702421,21.9561632044121,17.2274064604369,4.34611127271903,0.78530115111012,21.4318554536755,21.9634652480115,10.0977193511696,0.828203664782079,9.90416585507754,11.98961890076,32.0958622462092,6.54371810404964,3.01873370782392,8.02864669383559,20.3023001799023,28.5649575944487,1.29853468910032,16.8319198068278,27.7713679920696,13.8778132687154,30.3895617855199,24.794210478219,7.37408538969626
"North West","North West","Rest of E&W","England",525.8,40.627411005457,23.4055828479991,12.5450882567025,16.3870020709421,50.9242797709223,99.4747903946249,96.5691868441808,41.6339957556483,13.6876190366443,0.990676356066639,8.63073373530854,0.820074658247737,88.3327684452149,4.12131046493663,81.9803251760253,34.4453262742658,55.4595998169274,1.70999341143531,12.1296147720909,6.54489561121886,19.0219204389923,15.7933458573656,9.32385786158137,75.6519149794412,63.0143372096747,17.6242617895651,19.2440991525663,4.01527651816399,0.938671612157203,19.4240648033266,19.5623073700922,9.53358639060143,1.51293793589842,8.49939478042913,11.9660915405596,33.78568399845,7.98501734671947,2.7742304338049,7.97326754773563,19.4950241758752,31.2008443923338,0.819960583479415,16.0519680430529,30.4387338429892,13.2009157541072,33.0836559741968,27.3458627154376,7.20929167802551
"Yorkshire and The Humber","Central","Rest of E&W","England",355.8,40.7315430265871,23.3592931514467,12.7473690778937,16.581094873757,50.9359348136222,99.4293017319234,96.687197472537,43.2328388570993,14.5247661442441,0.944004254822181,8.99299407133933,0.720999020430856,88.6465264382463,4.38620690661826,81.311143280128,41.8243411923852,47.6365561058117,1.89816255879188,11.0037212682947,6.46667164380188,21.6464191657463,14.3831055435847,9.74380647541898,75.4306723680609,63.1184412299016,17.2918120118868,19.4175636236634,4.4186459795642,0.851357855660533,18.6347071845523,19.5059346555677,9.10792006892805,1.48189910317172,8.97840867257229,12.4006960969872,33.0204170214636,8.05607607384081,2.73934611543892,8.13423228672165,20.6183486802118,29.4925519567186,1.13172653300679,18.0340476774742,29.2649663172805,14.5639563625667,33.7053881733071,25.8949494752512,6.6101805092286
"East Midlands","Central","Rest of E&W","England",312.4,41.2054916992756,22.8300073093498,12.4503616867938,17.0686330942033,50.7753602726527,99.4830095962665,96.9358153338063,45.04279202611,14.491827534911,0.904400487087487,9.39676494163049,0.770570229832404,86.2833485039305,5.76063297660231,80.1122282663266,42.4616493944435,48.2048404896529,2.09087850257395,10.2721497800557,6.41107447281594,33.1818442854892,11.3534815893932,8.01112633256582,78.4088209481812,66.3314570232048,14.8738153624446,18.6541025223184,4.76525269382155,0.872449004683553,18.3383216661127,18.9259586061957,9.25678257546809,1.10644651610709,8.94988693551815,12.1900517927878,34.6334597867409,8.31410936389692,2.40342347150996,8.06203628921821,19.4821719115218,29.1088269391665,1.29536757017473,19.4604828176214,30.0223559320508,15.2371259545918,39.9492080819425,25.789653421208,4.63173385485521
"West Midlands","Central","Rest of E&W","England",457.8,40.4251628866478,24.1245192419992,12.3752617103129,16.302239764709,50.803502814852,99.4296998125162,97.2398035417539,43.881338972247,12.8438217595203,0.83130858778857,8.46011839481323,0.781304537392131,84.834954611657,5.05433174300345,72.6536640632444,34.8420667676343,49.3769071769557,1.61735725387543,11.8216022849212,8.0049623522274,24.5256932207666,15.9454668113882,9.65003809436784,74.3754766941086,63.6055491390388,18.2479149979378,17.9413491039698,3.70611734038499,0.838196020808112,18.1065871115221,19.2217729609863,9.28104966247086,1.51871380413173,9.04815413934612,11.8762901370474,33.1614712670299,8.23813230123064,3.17918093961862,8.20210062584729,21.1462416840681,29.4444284766333,1.04274903463199,18.7390910572248,29.1367331267101,14.0834905987527,37.900294423569,25.6523104988501,6.56867589681714
"East","South East","South East","England",331.4,41.2799108139998,23.0127188707316,11.5280876706274,16.9379368042209,50.9559477916122,99.5102550699106,97.1310852929522,46.1504676890936,13.8949757054904,0.836221768513682,9.134479824135,0.83856118338877,85.0929672993714,6.56714985469001,79.401089301646,42.7616590019738,49.6613446557358,1.52192381651738,10.2115507661735,6.51617365000217,29.5502632017413,17.5673372687427,10.7266026623737,74.2002852272593,66.2208581769047,15.488237518364,18.2051611735016,3.52935103836198,1.08863763864479,16.6348832917947,17.0769487702744,8.58706857797058,1.20165917143377,8.81514709093413,12.1815782429945,34.9966260589455,10.1424708281326,2.5116145541367,6.51557160233258,18.1071895648276,31.5712370789396,1.14476898257505,16.9900344906602,34.4671350686947,11.6392568863722,41.6262360287007,31.9115735407399,5.52020048602673
"London","South East","South East","England",5597.6,36.9275316961682,23.6970700788945,15.6338294662617,10.2935944020978,51.4972962800668,99.0164921435967,95.2644363498096,36.625892902893,11.3757473536733,1.35048551851276,10.9728518105406,1.71964868713082,59.365332439366,12.7567281932106,38.5877285937913,29.0858358180396,43.7152021990048,1.13519417872916,13.2579317676678,10.0402174135267,6.07723963094609,53.963445087313,21.2418623261845,52.6194182640213,46.7609201116041,23.1011577770191,29.952285252238,3.41506010185769,2.59487565979312,13.2328635612373,14.6024399845086,7.21169680411937,2.22530513538694,8.32453729529862,10.7185051770239,36.525654263065,12.1724637650558,4.09405425264834,9.89510816816195,16.2056930018856,46.6896959945721,0.178528875279553,10.840766876013,38.1281632773718,8.66071648518402,17.6048880075002,42.1282238822847,24.5759075245265
"South East","South East","South East","England",486.5,41.3070704520976,23.0715108083948,11.4514598193201,16.7155633512415,51.075574486706,99.5125597018842,96.6537759800311,46.6571833257822,13.3320313617047,1.00615933774549,10.0743950976002,0.92754930735336,84.2411520334415,6.02118071183816,79.6855658341617,42.851060786711,49.5112886687224,2.04259185509047,9.7122953008784,6.53661298446467,27.9686131568961,21.5979926286087,11.5957442897337,73.3047056342663,67.0926158479356,13.6385671510723,19.1904812175319,4.30659841249226,1.4005506536115,16.1277162856695,16.0106983514343,8.35003745404493,1.30978094599084,8.56276252539086,11.7992848051878,35.2115966661306,10.6247662843161,2.50036236272409,7.19445211087042,15.3843231523129,35.7670181532263,0.776380743664429,14.976983412627,37.5544239388556,9.63288495190997,42.3310239639745,35.8487975367298,5.39885803837802
"South West","Central","Rest of E&W","England",239.2,42.9595989609187,21.3777524107273,11.6532109821398,19.2469669458134,51.0692161245046,99.5543074813184,96.5517854023114,45.8857027662827,14.128326344013,0.999968853039122,10.3614782375383,0.747550346997303,89.7969335513931,4.63980489680396,88.3999750227409,47.1246025558672,49.4214818389734,2.08004088973768,9.14017463486384,5.48981351074225,30.0045326843292,18.5685292868577,10.5500022255063,75.996383654412,66.9560235520007,13.2684383344379,19.6883553658633,4.89777039373913,1.03238168339009,18.5591559370278,18.1941585147093,9.04701366805602,1.73761279149586,9.9210372754532,12.7285177769716,32.2081841343659,10.3356190213955,2.10802885060029,7.08411971166292,15.6505076185006,33.0833389641542,1.77686110033978,16.5063966851042,33.8098626642792,11.5557958039123,41.4707778777327,30.402282926264,3.66863843787584
"Wales","North West","Rest of E&W","Wales",149.9,42.209125236686,22.1877571405631,12.0397696792881,18.6474756338952,51.0536786233537,99.5716503432219,96.7506562057043,42.9977291140989,13.4977752346056,1.01377266144074,8.31730622462374,0.530502169749003,93.0672865864156,2.94358904057572,90.9884620855262,49.6625353267503,46.516561812328,1.80032527818236,12.0135341181221,5.5609992918194,28.5347257431262,12.5040735261259,7.63573090324947,81.3325375580686,66.3787184038209,16.486541258109,16.9726905680798,4.52473922717148,0.661304575326614,21.5693417268062,21.4169612501388,10.5253406710726,1.15038519382918,9.68002708011349,11.8347310480203,31.8728569329878,8.16928549325315,2.48627030541342,7.85921475836675,19.9139960053387,31.521761214277,2.02790886650191,17.2806685500572,29.6375032429273,13.1938692264173,38.8238857290474,25.6107461805299,3.74205759091524
